,PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,outdoor_fa,outdoor_le,night_life,water,mig_rate,ave_rent,social_hou,public_hou,five_y_pls,rent_to_pr,dyn_r_to_p,sales,dyn_sales,unemployme,welfare,child_pov,dyn_unempl,dyn_welfar,dyn_child,B_1940,B_1941_199,B_1991_201,vegpm20,other_sch,vocat_sch,primary_sc,Gymnasium,secon_sch,priv_schoo,sp_nee_sch,kita,stations,HK_EU15,HK_EU28,HK_Polen,HK_EheJug,HK_EheSU,HK_Turk,HK_Arab,HK_Sonst,HK_NZOrd,Cluster,Clusters,PLR_NAME,BZR_NAME,Bezirk
0,11501341,55,24,2,2,16,16,1,224,8,6,0,15.0,9.75,1.3,24.83,62.31,0.59,43.49,0.37,26.61,1.8,2.33,2.58,0.77,0.08,-0.1,51.65,6.03,42.33,3.46,0,0,2,0,0,1,1,20,10,17.43,39.72,11.2,2.14,21.61,2.43,3.31,27.27,3.5,0,"high social index, low migration rate",Karlshorst Süd,Karlshorst,Lichtenberg
1,3701659,79,205,12,8,50,29,6,130,10,55,4,33.6,11.26,0.39,12.77,61.17,2.93,88.38,0.88,59.9,2.73,4.95,8.13,0.68,0.28,0.36,87.43,7.07,5.5,2.9,0,0,4,1,2,8,2,47,13,35.39,47.76,5.22,1.27,8.18,2.69,4.43,34.41,1.26,0,"high social index, low migration rate",Immanuelkirchstraße,Prenzlauer Berg Süd,Pankow
2,7601340,61,13,1,0,8,12,0,4,6,3,0,39.86,8.1,12.72,26.73,71.06,0.2,4.41,0.17,11.04,6.72,17.81,41.68,1.74,-1.03,-0.14,5.44,75.77,18.79,2.65,0,0,1,0,2,2,0,17,0,3.97,33.02,21.74,4.77,26.08,11.71,8.84,10.34,5.24,3,"somewhat low social index, average migration rate",Tirschenreuther Ring Ost,Marienfelde Süd,Tempelhof-Schöneberg
3,2500831,67,257,7,6,54,26,2,221,14,100,3,39.3,13.97,0.74,8.37,52.41,3.05,152.37,1.12,84.35,4.91,9.85,21.15,1.15,-0.54,-2.27,60.98,30.96,8.06,2.71,0,0,4,2,0,1,0,41,13,31.28,42.34,4.7,4.28,6.64,2.93,9.41,32.1,2.3,2,"average social index, average migration rate",Wismarplatz,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg
4,12601134,154,17,0,6,11,16,1,85,24,5,1,45.58,7.55,1.56,42.23,69.9,0.05,10.72,0.23,15.78,9.34,23.14,51.53,1.91,-3.22,-5.82,0.51,97.73,1.76,3.86,0,2,4,1,2,1,1,24,2,4.44,22.49,13.35,6.26,10.08,23.21,13.02,16.8,8.14,1,"very low social index, very high migration rate",Märkisches Zentrum,MV Nord,Reinickendorf
5,7601547,58,15,1,0,20,10,1,46,1,4,0,22.12,8.34,9.91,15.31,70.22,0.54,9.61,0.31,22.89,4.26,9.74,27.78,1.03,0.77,4.4,28.81,56.46,14.73,6.03,0,0,1,1,0,0,0,6,0,7.12,26.48,15.84,8.15,12.34,6.65,23.28,19.72,3.38,2,"average social index, average migration rate",Horstwalder Straße,Lichtenrade Süd,Tempelhof-Schöneberg
6,8301036,90,13,0,3,7,10,0,108,6,0,1,53.72,8.22,6.58,27.09,73.04,0.23,3.64,0.25,24.18,9.8,19.71,45.05,2.73,-2.43,-3.98,1.72,92.61,5.67,4.25,0,1,2,0,3,1,0,14,2,2.72,19.87,13.82,7.36,5.92,33.94,12.9,7.2,12.81,1,"very low social index, very high migration rate",Gropiusstadt Mitte,Gropiusstadt Ost,Neukölln
7,5200421,75,7,0,0,4,7,0,3,2,4,0,28.52,8.82,10.45,19.87,67.09,0.32,15.61,0.32,29.07,5.38,11.1,26.51,0.95,-0.94,2.13,5.57,70.99,23.44,1.83,0,0,4,0,1,0,0,8,1,4.59,25.04,13.36,7.1,11.44,9.68,19.45,23.2,4.09,2,"average social index, average migration rate",Spandauer Straße,Brunsbütteler Damm,Spandau
8,5200418,49,3,0,0,0,4,0,13,3,1,0,22.11,8.82,10.45,19.86,67.09,0.32,15.61,0.32,29.07,1.02,1.93,3.85,0.1,-0.2,-1.06,30.31,6.96,62.73,1.78,0,0,2,0,1,0,0,5,2,11.52,31.86,16.54,4.78,13.97,13.11,6.5,17.4,12.38,0,"high social index, low migration rate",Isenburger Weg,Brunsbütteler Damm,Spandau
9,11501238,159,73,5,6,20,22,0,636,30,27,2,22.76,9.75,1.31,24.86,62.3,0.6,43.6,0.37,26.61,3.08,6.55,10.11,0.41,-1.75,-1.58,25.59,0.68,73.73,1.42,0,2,4,1,0,1,0,25,15,19.23,36.82,9.0,3.04,7.09,3.0,20.24,28.17,1.65,0,"high social index, low migration rate",Rummelsburg,Rummelsburger Bucht,Lichtenberg
10,7200412,84,31,0,2,11,12,2,153,6,14,1,38.66,13.99,4.04,7.8,65.19,2.26,84.27,0.88,56.68,3.27,12.89,33.33,-1.37,-2.33,-23.12,91.31,8.69,0.0,0.82,0,0,0,0,0,2,0,19,2,24.52,36.86,5.58,2.96,4.24,17.61,6.82,25.11,6.4,2,"average social index, average migration rate",Schöneberger Linse,Schöneberg Südost,Tempelhof-Schöneberg
11,7100103,106,161,6,8,44,27,5,93,5,61,9,57.0,11.23,12.69,18.82,66.05,1.14,70.4,0.66,48.98,7.58,21.9,45.05,1.97,-1.26,-2.13,46.0,49.55,4.45,2.24,0,1,5,1,1,4,0,30,4,14.43,25.48,4.5,5.8,9.75,17.6,15.25,20.07,6.04,1,"very low social index, very high migration rate",Frobenstraße,Schöneberg Nordwest,Tempelhof-Schöneberg
12,3400618,126,10,0,0,4,10,0,23,8,1,0,21.07,10.51,1.64,20.24,66.1,1.64,45.52,0.45,29.47,1.82,3.27,4.7,0.49,-0.26,-1.23,15.06,19.72,65.22,2.75,0,0,4,0,0,1,0,9,5,12.15,30.23,12.05,1.69,18.49,18.92,6.24,16.39,8.03,0,"high social index, low migration rate",Rosenthal,Schönholz/Wilhelmsruh/Rosenthal,Pankow
13,10200526,65,7,2,1,14,12,0,109,10,5,1,34.04,8.62,2.55,38.32,65.45,0.0,0.0,0.09,6.07,7.83,24.59,46.76,1.19,-1.71,-1.91,0.0,89.02,10.98,2.25,0,1,2,0,2,1,1,16,7,3.75,31.28,13.76,7.3,24.51,2.55,12.2,21.06,1.1,3,"somewhat low social index, average migration rate",Boulevard Kastanienallee,Hellersdorf Ost,Marzahn-Hellersdorf
14,7300516,132,119,6,2,186,20,4,158,2,23,3,28.67,11.29,1.26,1.97,70.0,2.52,66.87,0.89,69.42,2.04,4.85,7.62,0.49,-0.18,0.09,82.21,16.58,1.22,2.94,0,0,5,2,1,0,0,34,5,21.02,38.62,8.38,4.63,6.66,7.38,8.46,29.47,4.78,0,"high social index, low migration rate",Odenwaldstraße,Friedenau West,Tempelhof-Schöneberg
15,2300315,124,265,19,10,36,22,1,210,10,99,2,55.03,12.69,7.39,9.34,68.17,1.6,90.74,0.62,42.41,8.38,19.65,37.24,2.46,-1.0,1.22,71.72,26.22,2.06,3.01,0,1,5,0,1,2,1,52,3,17.22,23.71,2.15,1.72,1.9,40.78,7.16,15.79,8.95,3,"somewhat low social index, average migration rate",Lausitzer Platz,Nördliche Luisenstadt,Friedrichshain-Kreuzberg
16,7601548,48,8,0,0,10,6,0,18,0,3,0,18.94,8.34,9.91,15.31,70.22,0.54,9.61,0.31,22.89,1.45,4.86,15.21,0.21,-0.69,-3.82,19.49,69.62,10.89,5.31,0,0,2,1,0,0,0,5,0,13.06,39.01,9.62,3.82,4.0,7.8,10.73,30.65,3.99,0,"high social index, low migration rate",Wittelsbacherstraße,Lichtenrade Süd,Tempelhof-Schöneberg
17,10100314,71,9,0,1,2,11,0,82,8,3,1,24.88,7.22,1.04,35.19,70.53,0.2,12.6,0.06,3.41,5.03,9.34,24.2,1.41,-1.82,-2.95,4.08,69.64,26.29,2.0,0,0,2,1,0,0,1,12,4,2.8,19.94,5.82,2.52,40.77,1.95,8.18,24.27,2.36,2,"average social index, average migration rate",Auersbergstraße,Marzahn Süd,Marzahn-Hellersdorf
18,7601443,116,16,0,0,16,12,0,41,2,6,1,23.14,8.34,9.91,15.31,70.22,0.54,9.62,0.31,22.89,3.1,8.8,20.83,0.76,0.26,2.62,11.94,72.93,15.12,1.84,0,0,5,1,2,0,0,28,0,8.37,37.13,20.18,9.24,6.38,14.05,9.03,13.8,10.36,2,"average social index, average migration rate",Töpchiner Weg,Lichtenrade Nord,Tempelhof-Schöneberg
19,3601245,84,91,9,6,41,36,3,258,8,29,6,27.0,10.49,0.63,15.44,61.3,1.29,84.67,0.69,66.02,4.39,7.95,17.76,1.22,-1.31,-3.14,71.23,25.6,3.17,2.44,0,2,4,2,2,3,0,48,16,27.39,44.73,6.95,1.95,9.08,2.5,6.92,33.21,1.61,2,"average social index, average migration rate",Ostseestraße,Prenzlauer Berg Nord,Pankow
20,2500832,86,146,6,5,46,22,1,326,17,59,3,39.29,13.96,0.74,8.43,52.43,3.05,152.01,1.11,84.16,5.46,11.03,23.93,0.76,-2.3,-3.21,69.79,21.11,9.09,1.94,0,1,4,0,2,2,0,41,13,31.26,42.33,4.7,4.28,6.66,2.93,9.41,32.09,2.3,2,"average social index, average migration rate",Traveplatz,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg
21,10200630,67,10,0,0,12,14,0,71,7,4,1,14.11,8.64,2.51,37.65,65.65,0.0,0.08,0.09,6.0,4.0,10.48,25.82,0.39,-0.29,0.66,0.64,95.78,3.58,2.17,0,0,1,0,0,2,0,11,2,3.95,24.16,11.29,5.42,35.32,0.68,9.03,23.25,2.14,0,"high social index, low migration rate",Cecilienplatz,Hellersdorf Süd,Marzahn-Hellersdorf
22,2100104,128,114,16,14,31,21,0,295,19,35,22,70.51,13.35,26.04,28.64,68.49,0.5,61.17,0.14,18.26,12.04,26.76,56.94,2.28,-1.5,3.52,35.34,59.04,5.62,3.58,0,1,3,0,0,4,1,27,4,6.62,12.53,2.88,2.16,2.92,49.51,10.22,9.44,13.22,1,"very low social index, very high migration rate",Moritzplatz,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg
23,3701554,111,364,23,6,40,26,3,184,12,101,10,38.08,11.27,0.39,12.78,61.16,2.93,88.35,0.88,59.87,2.29,4.75,6.5,0.43,0.27,-0.71,78.76,7.01,14.23,2.03,0,0,5,1,0,6,0,45,18,34.86,44.44,3.44,1.21,7.14,2.56,3.27,40.0,1.38,2,"average social index, average migration rate",Teutoburger Platz,Prenzlauer Berg Südwest,Pankow
24,3500933,114,42,5,3,36,18,1,248,11,12,2,17.25,10.29,1.73,21.09,63.25,0.56,44.58,0.24,22.29,3.12,6.46,10.92,0.48,-0.12,0.85,60.02,14.31,25.67,3.75,0,1,1,1,2,4,0,38,12,23.27,53.44,14.88,2.8,10.2,2.96,7.08,22.29,1.23,0,"high social index, low migration rate",Weißer See,Weißensee,Pankow
