,PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,outdoor_fa,outdoor_le,night_life,water,mig_rate,ave_rent,social_hou,public_hou,five_y_pls,rent_to_pr,dyn_r_to_p,sales,dyn_sales,unemployme,welfare,child_pov,dyn_unempl,dyn_welfar,dyn_child,B_1940,B_1941_199,B_1991_201,vegpm20,other_sch,vocat_sch,primary_sc,Gymnasium,secon_sch,priv_schoo,sp_nee_sch,kita,stations,PLR_NAME,BZR_NAME
0,11501341,55,24,2,2,16,16,1,224,8,6,0,15.0,9.75,1.3,24.83,62.31,0.59,43.49,0.3712391675530235,26.61,1.8,2.33,2.58,0.77,0.08,-0.1,51.65,6.03,42.33,3.46,0,0,2,0,0,1,1,20,10,Karlshorst Süd,Karlshorst
1,3701659,79,205,12,8,50,29,6,130,10,55,4,33.6,11.26,0.39,12.77,61.17,2.93,88.38,0.880961453498785,59.9,2.73,4.95,8.13,0.68,0.28,0.36,87.43,7.07,5.5,2.9,0,0,4,1,2,8,2,47,13,Immanuelkirchstraße,Prenzlauer Berg Süd
2,7601340,61,13,1,0,8,12,0,4,6,3,0,39.86,8.1,12.72,26.73,71.06,0.2,4.41,0.173,11.04,6.72,17.81,41.68,1.74,-1.03,-0.14,5.44,75.77,18.79,2.65,0,0,1,0,2,2,0,17,0,Tirschenreuther Ring Ost,Marienfelde Süd
3,2500831,67,257,7,6,54,26,2,221,14,100,3,39.3,13.97,0.74,8.37,52.41,3.05,152.37,1.117,84.35,4.91,9.85,21.15,1.15,-0.54,-2.27,60.98,30.96,8.06,2.71,0,0,4,2,0,1,0,41,13,Wismarplatz,Frankfurter Allee Süd FK
4,12601134,154,17,0,6,11,16,1,85,24,5,1,45.58,7.55,1.56,42.23,69.9,0.05,10.72,0.233,15.78,9.34,23.14,51.53,1.91,-3.22,-5.82,0.51,97.73,1.76,3.86,0,2,4,1,2,1,1,24,2,Märkisches Zentrum,MV Nord
5,7601547,58,15,1,0,20,10,1,46,1,4,0,22.12,8.34,9.91,15.31,70.22,0.54,9.61,0.306999981701374,22.89,4.26,9.74,27.78,1.03,0.77,4.4,28.81,56.46,14.73,6.03,0,0,1,1,0,0,0,6,0,Horstwalder Straße,Lichtenrade Süd
6,8301036,90,13,0,3,7,10,0,108,6,0,1,53.72,8.22,6.58,27.09,73.04,0.23,3.64,0.2508188258237933,24.18,9.8,19.71,45.05,2.73,-2.43,-3.98,1.72,92.61,5.67,4.25,0,1,2,0,3,1,0,14,2,Gropiusstadt Mitte,Gropiusstadt Ost
7,5200421,75,7,0,0,4,7,0,3,2,4,0,28.52,8.82,10.45,19.87,67.09,0.32,15.61,0.323,29.07,5.38,11.1,26.51,0.95,-0.94,2.13,5.57,70.99,23.44,1.83,0,0,4,0,1,0,0,8,1,Spandauer Straße,Brunsbütteler Damm
8,5200418,49,3,0,0,0,4,0,13,3,1,0,22.11,8.82,10.45,19.86,67.09,0.32,15.61,0.3230716031238553,29.07,1.02,1.93,3.85,0.1,-0.2,-1.06,30.31,6.96,62.73,1.78,0,0,2,0,1,0,0,5,2,Isenburger Weg,Brunsbütteler Damm
9,11501238,159,73,5,6,20,22,0,636,30,27,2,22.76,9.75,1.31,24.86,62.3,0.6,43.6,0.3707219165487986,26.61,3.08,6.55,10.11,0.41,-1.75,-1.58,25.59,0.68,73.73,1.42,0,2,4,1,0,1,0,25,15,Rummelsburg,Rummelsburger Bucht
10,7200412,84,31,0,2,11,12,2,153,6,14,1,38.66,13.99,4.04,7.8,65.19,2.26,84.27,0.8790048743602238,56.68,3.27,12.89,33.33,-1.37,-2.33,-23.12,91.31,8.69,0.0,0.82,0,0,0,0,0,2,0,19,2,Schöneberger Linse,Schöneberg Südost
11,7100103,106,161,6,8,44,27,5,93,5,61,9,57.0,11.23,12.69,18.82,66.05,1.14,70.4,0.662421535221627,48.98,7.58,21.9,45.05,1.97,-1.26,-2.13,46.0,49.55,4.45,2.24,0,1,5,1,1,4,0,30,4,Frobenstraße,Schöneberg Nordwest
12,3400618,126,10,0,0,4,10,0,23,8,1,0,21.07,10.51,1.64,20.24,66.1,1.64,45.52,0.4476922260374122,29.47,1.82,3.27,4.7,0.49,-0.26,-1.23,15.06,19.72,65.22,2.75,0,0,4,0,0,1,0,9,5,Rosenthal,Schönholz/Wilhelmsruh/Rosenthal
13,10200526,65,7,2,1,14,12,0,109,10,5,1,34.04,8.62,2.55,38.32,65.45,0.0,0.0,0.0939842412124853,6.07,7.83,24.59,46.76,1.19,-1.71,-1.91,0.0,89.02,10.98,2.25,0,1,2,0,2,1,1,16,7,Boulevard Kastanienallee,Hellersdorf Ost
14,7300516,132,119,6,2,186,20,4,158,2,23,3,28.67,11.29,1.26,1.97,70.0,2.52,66.87,0.894358885066118,69.42,2.04,4.85,7.62,0.49,-0.18,0.09,82.21,16.58,1.22,2.94,0,0,5,2,1,0,0,34,5,Odenwaldstraße,Friedenau West
15,10100205,113,12,1,2,3,19,0,257,2,4,0,66.09,7.21,1.03,35.27,70.53,0.2,12.63,0.0602305860957131,3.43,,,,,,,,,,2.22,0,0,2,2,1,4,0,14,8,Gewerbegebiet Bitterfelder Straße,Marzahn Mitte
16,2300315,124,265,19,10,36,22,1,210,10,99,2,55.03,12.69,7.39,9.34,68.17,1.6,90.74,0.625,42.41,8.38,19.65,37.24,2.46,-1.0,1.22,71.72,26.22,2.06,3.01,0,1,5,0,1,2,1,52,3,Lausitzer Platz,Nördliche Luisenstadt
17,7601548,48,8,0,0,10,6,0,18,0,3,0,18.94,8.34,9.91,15.31,70.22,0.54,9.61,0.307,22.89,1.45,4.86,15.21,0.21,-0.69,-3.82,19.49,69.62,10.89,5.31,0,0,2,1,0,0,0,5,0,Wittelsbacherstraße,Lichtenrade Süd
18,10100314,71,9,0,1,2,11,0,82,8,3,1,24.88,7.22,1.04,35.19,70.53,0.2,12.6,0.0599477942390367,3.41,5.03,9.34,24.2,1.41,-1.82,-2.95,4.08,69.64,26.29,2.0,0,0,2,1,0,0,1,12,4,Auersbergstraße,Marzahn Süd
19,7601443,116,16,0,0,16,12,0,41,2,6,1,23.14,8.34,9.91,15.31,70.22,0.54,9.62,0.3070164480057429,22.89,3.1,8.8,20.83,0.76,0.26,2.62,11.94,72.93,15.12,1.84,0,0,5,1,2,0,0,28,0,Töpchiner Weg,Lichtenrade Nord
20,3601245,84,91,9,6,41,36,3,258,8,29,6,27.0,10.49,0.63,15.44,61.3,1.29,84.67,0.6936758769111621,66.02,4.39,7.95,17.76,1.22,-1.31,-3.14,71.23,25.6,3.17,2.44,0,2,4,2,2,3,0,48,16,Ostseestraße,Prenzlauer Berg Nord
21,2500832,86,146,6,5,46,22,1,326,17,59,3,39.29,13.96,0.74,8.43,52.43,3.05,152.01,1.1143443347144568,84.16,5.46,11.03,23.93,0.76,-2.3,-3.21,69.79,21.11,9.09,1.94,0,1,4,0,2,2,0,41,13,Traveplatz,Frankfurter Allee Süd FK
22,10200630,67,10,0,0,12,14,0,71,7,4,1,14.11,8.64,2.51,37.65,65.65,0.0,0.08,0.09327735926210881,6.0,4.0,10.48,25.82,0.39,-0.29,0.66,0.64,95.78,3.58,2.17,0,0,1,0,0,2,0,11,2,Cecilienplatz,Hellersdorf Süd
23,2100104,128,114,16,14,31,21,0,295,19,35,22,70.51,13.35,26.04,28.64,68.49,0.5,61.17,0.1402142211902537,18.26,12.04,26.76,56.94,2.28,-1.5,3.52,35.34,59.04,5.62,3.58,0,1,3,0,0,4,1,27,4,Moritzplatz,Südliche  Friedrichstadt
24,3701554,111,364,23,6,40,26,3,184,12,101,10,38.08,11.27,0.39,12.78,61.16,2.93,88.35,0.8806073675568916,59.87,2.29,4.75,6.5,0.43,0.27,-0.71,78.76,7.01,14.23,2.03,0,0,5,1,0,6,0,45,18,Teutoburger Platz,Prenzlauer Berg Südwest
25,3500933,114,42,5,3,36,18,1,248,11,12,2,17.25,10.29,1.73,21.09,63.25,0.56,44.58,0.23900000000000002,22.29,3.12,6.46,10.92,0.48,-0.12,0.85,60.02,14.31,25.67,3.75,0,1,1,1,2,4,0,38,12,Weißer See,Weißensee
26,7100204,132,236,3,5,74,34,7,137,2,60,9,40.07,11.21,12.73,18.83,66.09,1.14,70.37,0.6620097408176189,48.98,3.23,8.2,15.59,0.9,-0.35,0.45,53.61,44.58,1.82,3.39,0,0,6,0,3,4,0,41,7,Barbarossaplatz,Schöneberg Nordost
27,5200420,155,11,0,1,12,14,0,44,19,6,0,31.17,8.82,10.44,19.86,67.09,0.32,15.61,0.32310415106173596,29.08,3.2,6.96,17.76,0.05,-1.08,-1.58,20.18,61.77,18.04,1.69,0,0,5,0,2,1,1,22,0,Staakener Straße,Brunsbütteler Damm
28,8100312,131,181,18,6,88,28,0,277,0,93,1,50.01,11.52,6.73,9.55,62.9,1.4,98.74,0.485,41.44,7.3,15.71,36.47,1.98,-1.58,-1.95,75.87,21.4,2.73,2.87,0,0,5,2,1,3,0,65,2,Weichselplatz,Reuterstraße
29,10100103,68,6,1,1,8,12,0,129,3,8,0,27.52,7.21,1.03,35.26,70.54,0.2,12.64,0.06,3.41,6.32,18.07,36.86,0.84,-1.08,-2.25,0.0,94.58,5.42,2.14,0,0,5,0,4,0,0,14,5,Wittenberger Straße,Marzahn Nord
30,3601451,63,59,2,3,51,24,4,190,8,18,6,30.24,10.49,0.63,15.44,61.3,1.29,84.7,0.6940763411129011,66.05,3.89,7.08,9.82,0.87,-0.46,1.32,77.22,18.0,4.78,3.1,0,0,5,2,2,3,0,38,10,Anton-Saefkow-Park,Prenzlauer Berg Ost
31,6400736,117,12,1,0,4,14,0,57,3,3,1,21.07,11.45,2.47,2.07,69.69,0.86,22.75,0.4650564347999171,21.34,1.51,4.34,6.46,0.48,0.0,0.54,9.13,80.66,10.2,11.5,0,0,3,1,0,1,0,9,1,Düppel,Zehlendorf Südwest
32,1400937,144,34,3,4,34,24,1,175,5,39,1,50.33,9.6,5.89,15.26,61.67,1.04,68.92,0.5290743380741267,43.51,8.07,17.39,42.9,1.93,-2.28,-5.29,79.94,19.28,0.78,5.79,0,0,2,1,1,0,0,38,4,Afrikanische Straße,Parkviertel
33,7601339,45,8,2,0,3,10,0,8,3,1,0,39.86,8.1,12.72,26.73,71.06,0.2,4.41,0.1730119020902312,11.04,8.05,17.76,41.02,2.32,-0.67,-1.56,7.37,87.39,5.24,3.6,0,0,1,0,1,1,0,11,0,Tirschenreuther Ring West,Marienfelde Süd
34,6300632,152,14,1,1,8,28,0,19,8,1,2,29.07,10.84,3.52,2.48,68.34,0.67,30.73,0.5449999675154686,44.53,2.35,2.95,4.24,0.71,-0.66,-1.83,18.49,38.66,42.85,3.14,0,0,2,1,0,1,0,20,0,Schweizer Viertel,Drakestraße
35,7601545,64,7,0,0,23,9,0,27,1,3,1,40.24,8.34,9.91,15.31,70.22,0.54,9.61,0.307,22.89,9.38,24.72,57.59,1.39,-1.56,-1.61,9.37,81.95,8.67,2.98,0,0,2,2,1,0,0,16,0,Nahariyastraße,Lichtenrade Süd
36,5100103,54,8,0,4,5,7,0,56,38,3,0,36.44,7.99,5.95,12.59,63.56,0.7,14.0,0.403,33.4,6.5,14.9,32.89,0.62,-2.53,-7.01,30.05,58.23,11.72,2.21,0,0,0,0,0,0,0,9,0,Mertensstraße,Hakenfelde
37,8100314,105,189,20,8,100,29,0,279,1,99,1,61.15,11.52,6.73,9.55,62.9,1.41,98.75,0.4850640294383338,41.44,8.91,19.98,52.22,2.67,-3.2,-3.72,88.85,9.46,1.69,2.12,0,0,4,2,1,4,0,60,2,Donaustraße,Reuterstraße
38,5200526,34,6,0,1,6,5,0,49,7,0,0,49.42,8.82,10.45,19.87,67.09,0.32,15.61,0.323,29.07,12.77,32.98,67.37,0.35,-3.9,-7.26,2.53,94.95,2.52,3.83,0,0,1,0,0,1,0,7,0,Rudolf-Wissell-Großsiedlung,Heerstraße
39,4500938,113,134,4,1,83,35,4,53,6,32,7,44.16,13.06,4.73,6.81,64.8,1.88,98.32,1.053731590751326,71.96,3.5,7.46,16.88,0.85,-0.41,-1.46,61.69,36.89,1.42,2.26,0,0,2,1,2,2,0,28,4,Hochmeisterplatz,Halensee
40,7400826,124,18,0,5,16,15,0,91,7,7,2,28.03,10.47,2.77,12.68,66.78,1.18,33.69,0.5481092262242575,39.09,3.49,10.42,22.2,0.3,-0.47,-1.41,63.53,34.95,1.52,3.64,0,0,3,0,1,1,0,20,4,Marienhöhe,Tempelhof Südwest
41,9501939,118,43,1,4,25,22,1,156,9,16,0,15.62,10.57,0.95,15.23,67.18,0.3,24.15,0.2173658181232167,22.63,3.77,6.18,11.59,0.99,-0.93,0.04,64.07,6.4,29.53,5.76,0,0,1,1,1,2,0,26,20,Bahnhofstraße,Dammvorstadt
42,6100208,146,104,3,2,138,29,4,128,3,20,5,31.47,10.8,2.0,1.39,67.92,0.99,55.24,0.976,60.48,3.11,6.33,9.97,0.38,-1.03,-1.87,42.72,54.09,3.19,3.64,0,1,3,2,1,2,0,24,4,Bergstraße,Albrechtstraße
43,3200206,95,19,3,0,22,11,0,80,7,6,2,17.45,10.76,3.2,3.55,68.98,0.67,30.18,0.2601712878644467,22.16,2.44,5.25,7.03,0.01,0.32,-0.56,49.68,20.84,29.49,3.51,0,1,2,1,0,2,0,35,9,Pastor-Niemöller-Platz,Blankenfelde/Niederschönhausen
44,3601452,66,38,1,2,34,25,3,129,18,11,1,32.17,10.49,0.63,15.44,61.3,1.29,84.73,0.6942118687032781,66.05,5.47,10.68,24.95,1.09,-0.48,-2.34,51.59,45.38,3.03,1.5,0,0,3,1,1,1,0,27,12,Velodrom,Prenzlauer Berg Ost
45,11200513,63,22,1,3,11,12,0,68,12,10,2,26.83,8.91,2.76,35.97,64.35,0.05,11.54,0.175,10.59,5.33,12.2,31.75,0.58,-1.36,-2.96,58.74,26.16,15.1,3.37,0,0,4,1,2,0,0,19,14,Große-Leege-Straße,Alt-Hohenschönhausen Süd
46,5100104,52,10,0,3,7,7,0,76,40,4,0,30.64,7.99,5.95,12.59,63.56,0.7,14.0,0.403,33.4,5.74,12.88,29.78,2.21,-1.08,-2.18,37.2,18.56,44.24,1.52,0,0,0,0,0,0,0,9,0,Maselake,Hakenfelde
47,12601235,103,8,0,3,4,9,0,43,7,1,0,57.78,7.59,1.56,41.93,69.85,0.07,11.2,0.2359522725939751,15.97,9.55,27.41,52.52,1.77,-2.18,-3.95,5.78,87.46,6.77,4.09,0,0,4,1,0,1,0,21,1,Dannenwalder Weg,MV Süd
48,3400725,122,21,1,0,23,21,1,98,11,2,2,17.64,10.51,1.65,20.23,66.11,1.64,45.51,0.44743770107650194,29.45,3.47,6.79,15.34,0.89,-0.47,2.05,24.32,48.93,26.75,3.8,0,0,2,1,1,2,2,33,14,Schlosspark,Pankow Zentrum
