PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,schools,universiti,kindergart,outdoor_fa,outdoor_le,night_life,water,ave_rent,social_hou,public_hou,dyn_ew,five_y_pls,dyn_sales,child_pov,dyn_unempl,noise,air,green,bio,B_age,mig_rate,label,PLR_NAME,BZR_NAME
11501341,55,24.0,2.0,2.0,16.0,16,1.0,0.0,1.0,8.0,224.0,8.0,6.0,0.0,9.750770402026829,1.302637239325559,24.830918665690113,10.279648345801979,62.30860306788236,26.607421468324027,2.58,0.77,1,1,0,1,B_1940,0.150039797065816,2,Karlshorst Süd,Karlshorst
03701659,79,205.0,12.0,8.0,50.0,29,6.0,3.0,1.0,23.0,130.0,10.0,55.0,4.0,11.261721050937268,0.390506912091514,12.771489213392268,5.212116349671487,61.168441579521314,59.89616928357143,8.13,0.68,1,1,2,2,B_1940,0.336017181511582,3,Immanuelkirchstraße,Prenzlauer Berg Süd
07601340,61,13.0,1.0,0.0,8.0,12,0.0,0.0,0.0,8.0,4.0,6.0,3.0,0.0,8.1,12.72,26.73,1.99,71.06,11.04,41.68,1.74,0,0,0,1,B_1941_1990,0.398642095635564,0,Tirschenreuther Ring Ost,Marienfelde Süd
02500831,67,257.0,7.0,6.0,54.0,26,2.0,1.0,0.0,19.0,221.0,14.0,100.0,3.0,13.97,0.74,8.37,9.84,52.41,84.35,21.15,1.15,1,1,2,2,B_1940,0.392961868934054,1,Wismarplatz,Frankfurter Allee Süd FK
12601134,154,17.0,0.0,6.0,11.0,16,1.0,2.0,0.0,12.0,85.0,24.0,5.0,1.0,7.55,1.56,42.23,3.38,69.9,15.78,51.53,1.91,0,1,0,2,B_1941_1990,0.455848090152558,0,Märkisches Zentrum,MV Nord
07601547,58,15.0,1.0,0.0,20.0,10,1.0,0.0,0.0,2.0,46.0,1.0,4.0,0.0,8.339999502897262,9.90999940931797,15.309999087452889,3.849999770522118,70.21999581456184,22.889998635649683,27.78,1.03,0,0,0,1,B_1941_1990,0.221239416422189,2,Horstwalder Straße,Lichtenrade Süd
08301036,90,13.0,0.0,3.0,7.0,10,0.0,1.0,0.0,4.0,108.0,6.0,0.0,1.0,8.218853128107805,6.584351548945779,27.085587532653296,2.328513516222011,73.0417500190281,24.179826814276314,45.05,2.73,0,1,1,1,B_1941_1990,0.537219169578811,0,Gropiusstadt Mitte,Gropiusstadt Ost
05200421,75,7.0,0.0,0.0,4.0,7,0.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,8.82,10.45,19.87,3.56,67.09,29.07,26.51,0.95,3,0,0,1,B_1941_1990,0.285206944155666,0,Spandauer Straße,Brunsbütteler Damm
05200418,49,3.0,0.0,0.0,0.0,4,0.0,0.0,0.0,2.0,13.0,3.0,1.0,0.0,8.819256867506192,10.445971736244973,19.863483103507313,3.56260473189468,67.08683884079336,29.07387528098421,3.85,0.1,3,0,0,0,B_1991_2015,0.221147932951847,2,Isenburger Weg,Brunsbütteler Damm
11501238,159,73.0,5.0,6.0,20.0,22,0.0,0.0,1.0,9.0,636.0,30.0,27.0,2.0,9.753925062753115,1.305747917320041,24.860730208622623,10.26722766806284,62.2956120460105,26.6142487421236,10.11,0.41,1,1,0,2,B_1991_2015,0.227576538946944,2,Rummelsburg,Rummelsburger Bucht
07200412,84,31.0,0.0,2.0,11.0,12,2.0,0.0,0.0,16.0,153.0,6.0,14.0,1.0,13.986250070379029,4.036218828658457,7.80244526830429,3.277386102308228,65.18649948577543,56.67625929477566,33.33,-1.37,1,2,2,2,B_1940,0.38662207285404,2,Schöneberger Linse,Schöneberg Südost
07100103,106,161.0,6.0,8.0,44.0,27,5.0,2.0,2.0,24.0,93.0,5.0,61.0,9.0,11.229181235760917,12.687887446191164,18.821608900115823,1.876582997892983,66.0537283486384,48.97976939837448,45.05,1.97,1,2,2,2,B_1941_1990,0.569962074379971,3,Frobenstraße,Schöneberg Nordwest
03400618,126,10.0,0.0,0.0,4.0,10,0.0,1.0,1.0,6.0,23.0,8.0,1.0,0.0,10.509673764304898,1.642134858730715,20.241915138500918,6.008582733168151,66.10483620310842,29.466796773417737,4.7,0.49,1,1,0,0,B_1991_2015,0.210711534278977,2,Rosenthal,Schönholz/Wilhelmsruh/Rosenthal
10200526,65,7.0,2.0,1.0,14.0,12,0.0,1.0,0.0,5.0,109.0,10.0,5.0,1.0,8.620429074199636,2.549212128453655,38.315196196021276,6.439743764720625,65.45437411469408,6.068558150791796,46.76,1.19,1,0,0,2,B_1941_1990,0.340446425586046,0,Boulevard Kastanienallee,Hellersdorf Ost
07300516,132,119.0,6.0,2.0,186.0,20,4.0,0.0,1.0,26.0,158.0,2.0,23.0,3.0,11.29050289937295,1.259290501479991,1.974398567345925,1.373007462136448,69.99700070858002,69.42343038378283,7.62,0.49,1,2,2,2,B_1940,0.286728559913972,3,Odenwaldstraße,Friedenau West
02300315,124,265.0,19.0,10.0,36.0,22,1.0,5.0,0.0,31.0,210.0,10.0,99.0,2.0,12.69,7.39,9.34,-2.31,68.17,42.41,37.24,2.46,1,2,1,2,B_1940,0.55030996409509,1,Lausitzer Platz,Nördliche Luisenstadt
07601548,48,8.0,0.0,0.0,10.0,6,0.0,0.0,0.0,1.0,18.0,0.0,3.0,0.0,8.34,9.91,15.31,3.85,70.22,22.89,15.21,0.21,0,0,0,0,B_1941_1990,0.18935996998322,2,Wittelsbacherstraße,Lichtenrade Süd
